prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu
prompt0,0.7486844247667107,2.3174960613250732,9,no,106,18,1.8177083333333333,0.037933349609375
prompt1,,0.13950610160827637,0,buggy,None,3,,
prompt2,,0.4190645217895508,2,buggy,None,70000,,
prompt3,,0.1394188404083252,0,buggy,None,540,,
prompt4,,0.436002254486084,2,buggy,None,20,,
prompt5,,0.2813282012939453,1,buggy,None,64,,
prompt6,,0.41631388664245605,2,buggy,None,260,,
prompt7,,0.17189526557922363,0,buggy,None,160,,
prompt8,,0.14711713790893555,0,buggy,None,45,,
prompt9,0.0,1.649402141571045,11,no,420,460,0.0,0.026652018229166668
prompt10,,0.4259333610534668,2,buggy,None,366,,
prompt11,0.7714455722360612,1.6541707515716553,11,no,2498,694,1.8837890625,0.03679656982421875
prompt12,0.8191799428996016,1.241312026977539,8,no,7,13,1.7763671875,0.03338623046875
prompt13,,0.416323184967041,2,buggy,None,18,,
prompt14,,0.41820693016052246,2,buggy,None,60,,
prompt15,,1.6769909858703613,11,buggy,None,125,,
prompt16,0.0,1.491048812866211,10,yes,230,230,0.0,0.0298004150390625
prompt17,,0.1410820484161377,0,buggy,None,57500,,
prompt18,,0.41209840774536133,2,buggy,None,7,,
prompt19,,0.42744970321655273,2,buggy,None,6,,
prompt20,,0.1420886516571045,0,buggy,None,15,,
prompt21,,0.41722869873046875,2,buggy,None,14,,
prompt22,,0.29484057426452637,1,buggy,None,7,,
prompt23,0.5480735252464634,1.08601713180542,7,no,12,8,1.5712890625,0.0397186279296875
prompt24,,2.5522100925445557,18,buggy,None,26,,
prompt25,,0.14270281791687012,0,buggy,None,2,,
prompt26,0.34828733943986395,1.6493754386901855,11,no,270,243,0.6844075520833334,0.029856363932291668
prompt27,0.0,1.5051405429840088,10,yes,16,16,0.0,0.0269775390625
prompt28,,0.4175682067871094,2,buggy,None,25,,
prompt29,,0.4244270324707031,2,buggy,None,104,,
prompt30,,0.41568827629089355,2,buggy,None,109,,
prompt31,,0.42226195335388184,2,buggy,None,80,,
prompt32,0.23316994981546263,1.3518972396850586,9,yes,35,35,0.341796875,0.02983856201171875
prompt33,,0.4158153533935547,2,buggy,None,70,,
prompt34,,0.2845344543457031,1,buggy,None,23,,
prompt35,,0.4176957607269287,2,buggy,None,9,,
prompt36,,0.41791605949401855,2,buggy,None,75,,
prompt37,0.5545899605242418,0.9662909507751465,6,no,0,2,1.591796875,0.03656005859375
prompt38,0.6568620825950254,1.3483400344848633,9,yes,10,10,1.57373046875,0.0364532470703125
prompt39,,0.14308786392211914,0,buggy,None,18,,
prompt40,,0.13918566703796387,0,buggy,None,8,,
prompt41,,1.149277925491333,7,buggy,None,200,,
prompt42,0.4800764978828936,1.2643671035766602,8,no,22,26,0.3427734375,0.02951812744140625
prompt43,,0.14359354972839355,0,buggy,None,48,,
prompt44,,0.14301061630249023,0,buggy,None,20,,
prompt45,,0.43654346466064453,2,buggy,None,104,,
prompt46,0.13662491551208075,1.7064106464385986,11,no,152,163,0.5319010416666666,0.029876708984375
prompt47,0.4418207628199086,1.5001168251037598,10,no,280,800,0.8929036458333334,0.033503214518229164
prompt48,0.0,1.0868504047393799,7,yes,8,8,0.0,0.0292816162109375
prompt49,0.3087465029367591,1.4961662292480469,10,no,240,30,0.3629557291666667,0.027150472005208332
