,buggy_prompt_ids
0,1
1,2
2,7
3,14
4,17
5,35
6,38
7,44
8,45
9,46
10,78
11,118
12,123
13,131
14,140
15,141
16,153
17,157
18,181
19,183
20,186
21,199
22,207
23,225
24,228
25,230
26,236
27,244
28,252
29,256
30,279
31,295
32,296
33,303
34,307
35,325
36,353
37,363
38,383
39,384
40,387
41,397
42,409
43,410
44,441
45,443
46,511
47,514
48,522
49,541
50,551
51,594
52,598
53,606
54,610
55,611
56,613
57,617
58,620
59,622
60,638
61,656
62,672
63,697
64,710
65,711
66,715
67,716
68,719
69,726
70,739
71,742
72,751
73,764
74,820
75,822
76,825
77,828
78,841
79,868
80,872
81,890
82,898
83,905
84,912
85,934
86,943
87,955
88,963
89,964
90,973
91,1001
92,1002
93,1003
94,1026
95,1056
96,1066
97,1076
98,1088
99,1095
100,1098
101,1115
102,1142
103,1143
104,1149
105,1154
106,1157
107,1165
108,1176
109,1185
110,1195
111,1212
112,1227
113,1228
114,1233
115,1249
116,1252
117,1264
118,1275
119,1290
120,1291
121,1305
