,buggy_prompt_ids
0,1
1,2
2,7
3,9
4,11
5,13
6,14
7,17
8,21
9,35
10,38
11,44
12,45
13,46
14,56
15,62
16,64
17,71
18,72
19,78
20,82
21,84
22,97
23,102
24,103
25,107
26,108
27,110
28,111
29,118
30,119
31,123
32,124
33,129
34,131
35,133
36,137
37,140
38,141
39,152
40,153
41,157
42,158
43,170
44,172
45,174
46,177
47,181
48,182
49,183
50,186
51,189
52,193
53,194
54,196
55,199
56,201
57,203
58,207
59,209
60,217
61,223
62,225
63,227
64,228
65,230
66,236
67,244
68,250
69,252
70,253
71,256
72,259
73,263
74,273
75,279
76,280
77,281
78,290
79,291
80,295
81,296
82,300
83,301
84,303
85,304
86,307
87,312
88,319
89,322
90,325
91,328
92,337
93,338
94,340
95,344
96,348
97,353
98,356
99,360
100,361
101,363
102,366
103,370
104,373
105,375
106,383
107,384
108,387
109,388
110,397
111,399
112,406
113,409
114,410
115,418
116,434
117,436
118,440
119,441
120,443
121,444
122,451
123,455
124,458
125,459
126,461
127,469
128,471
129,475
130,479
131,481
132,483
133,491
134,492
135,496
136,509
137,511
138,514
139,521
140,522
141,523
142,527
143,529
144,531
145,541
146,543
147,546
148,548
149,551
150,561
151,572
152,574
153,576
154,582
155,587
156,594
157,598
158,606
159,609
160,610
161,611
162,612
163,613
164,615
165,616
166,617
167,618
168,620
169,622
170,629
171,631
172,638
173,640
174,642
175,644
176,650
177,656
178,658
179,662
180,664
181,667
182,669
183,672
184,673
185,682
186,683
187,684
188,685
189,686
190,689
191,693
192,695
193,697
194,698
195,702
196,704
197,710
198,711
199,712
200,714
201,715
202,716
203,717
204,719
205,720
206,725
207,726
208,732
209,739
210,740
211,742
212,744
213,745
214,746
215,751
216,755
217,761
218,764
219,768
220,771
221,774
222,775
223,776
224,786
225,789
226,794
227,795
228,797
229,818
230,820
231,822
232,824
233,825
234,828
235,832
236,833
237,838
238,841
239,847
240,851
241,852
242,854
243,855
244,857
245,858
246,859
247,862
248,864
249,868
250,869
251,872
252,881
253,884
254,888
255,890
256,891
257,898
258,903
259,905
260,910
261,912
262,922
263,926
264,928
265,932
266,934
267,938
268,940
269,943
270,946
271,948
272,949
273,952
274,953
275,955
276,956
277,960
278,962
279,963
280,964
281,971
282,973
283,975
284,978
285,993
286,1001
287,1002
288,1003
289,1007
290,1012
291,1013
292,1014
293,1018
294,1024
295,1026
296,1030
297,1040
298,1056
299,1057
300,1060
301,1063
302,1066
303,1073
304,1074
305,1076
306,1079
307,1080
308,1082
309,1088
310,1093
311,1094
312,1095
313,1098
314,1103
315,1107
316,1108
317,1115
318,1117
319,1118
320,1120
321,1122
322,1125
323,1127
324,1137
325,1138
326,1140
327,1142
328,1143
329,1149
330,1152
331,1154
332,1155
333,1157
334,1161
335,1163
336,1165
337,1166
338,1169
339,1176
340,1179
341,1181
342,1185
343,1190
344,1191
345,1195
346,1206
347,1210
348,1212
349,1219
350,1220
351,1222
352,1227
353,1228
354,1229
355,1230
356,1232
357,1233
358,1238
359,1243
360,1244
361,1249
362,1252
363,1256
364,1259
365,1262
366,1264
367,1266
368,1268
369,1273
370,1274
371,1275
372,1279
373,1282
374,1283
375,1285
376,1287
377,1290
378,1291
379,1295
380,1300
381,1305
382,1306
383,1307
384,1309
385,1313
386,1316
