prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth,avg_au,avg_eu
prompt0,0.8286206593115015,1.2443170547485352,8,no,76,18,2.40625,0.06768798828125
prompt1,,6.775870084762573,50,buggy,None,3,,
prompt2,0.5942160100694441,1.658238410949707,13,no,105000,70000,1.8052734375,0.06290283203125
prompt3,0.3316074204033142,1.1635539531707764,9,no,180,540,1.32275390625,0.064208984375
prompt4,,6.853226900100708,50,buggy,None,20,,
prompt5,0.7520699991729979,1.311311960220337,10,no,106,64,2.2200520833333335,0.06653849283854167
prompt6,0.7912521160285992,1.0575249195098877,8,no,60,260,1.87353515625,0.0629425048828125
prompt7,0.8485504584007106,1.2325115203857422,9,no,200,160,2.3294270833333335,0.06901041666666667
prompt8,0.8573946277686453,1.3472318649291992,9,no,75,45,2.2197265625,0.0607452392578125
prompt9,,6.293375015258789,50,buggy,None,460,,
prompt10,0.7515935922906902,1.4388644695281982,11,no,1225.0,366,1.9888671875,0.06282958984375
prompt11,0.8494343205701951,1.4427874088287354,11,no,6918.0,694,2.241796875,0.0660400390625
prompt12,0.832283759599791,0.8458895683288574,6,no,5,13,2.51953125,0.07696533203125
prompt13,0.7208372689645974,1.0751283168792725,8,no,30,18,2.09033203125,0.06561279296875
prompt14,0.7981818944272334,1.075528621673584,8,no,40,60,2.1064453125,0.06414794921875
prompt15,0.7753739208002443,1.4892148971557617,10,no,400,125,2.3248697916666665,0.06739298502604167
prompt16,0.3883145011064531,1.1888384819030762,9,yes,230,230,1.83642578125,0.0653228759765625
prompt17,0.6519613008257755,1.5609114170074463,12,no,29800,57500,2.151611328125,0.06018829345703125
prompt18,0.7928309947173239,1.1664836406707764,9,no,75.0,7,2.326171875,0.06718953450520833
prompt19,0.7714609752475514,1.2102115154266357,9,no,78.0,6,1.9674479166666667,0.06650797526041667
prompt20,0.7275691343197811,0.9754757881164551,7,no,6,15,2.162109375,0.07098388671875
prompt21,0.8749530751353412,1.0691821575164795,8,no,12,14,2.2197265625,0.065032958984375
prompt22,0.8687201319512092,1.198946237564087,9,no,15,7,2.04345703125,0.058502197265625
prompt23,0.5786374692942277,1.0605440139770508,8,yes,8,8,1.9150390625,0.06146240234375
prompt24,0.6350235798092547,1.2959184646606445,10,no,260.0,26,1.630859375,0.062286376953125
prompt25,0.8520159013384364,0.9703850746154785,7,yes,2,2,2.162109375,0.06915283203125
prompt26,0.6912202478287943,1.6922633647918701,13,no,42750.0,243,1.645751953125,0.06419881184895833
prompt27,0.7060730000393544,1.324512243270874,10,no,280,16,2.041015625,0.06345621744791667
prompt28,0.6657553879297989,1.0717923641204834,8,no,35,25,1.360595703125,0.06097412109375
prompt29,0.8875771578350555,1.0921320915222168,8,no,49,104,2.1611328125,0.0616607666015625
prompt30,0.9135986453455714,1.0577270984649658,8,no,18,109,2.21875,0.06683349609375
prompt31,0.6783042187032403,1.3313374519348145,10,no,525.0,80,1.96875,0.0660247802734375
prompt32,0.6912743448401423,1.063051700592041,8,no,23,35,2.318359375,0.0717926025390625
prompt33,0.26978980155376103,1.1768214702606201,9,no,80,70,1.755859375,0.068115234375
prompt34,0.9231621040296838,1.0665059089660645,8,no,33,23,2.09423828125,0.060821533203125
prompt35,0.8666397480467243,1.0718183517456055,8,no,32,9,2.041015625,0.063507080078125
prompt36,0.8077339661575138,1.0723283290863037,8,no,80,75,2.3984375,0.069854736328125
prompt37,0.525479351177532,0.84548020362854,6,no,5,2,2.2578125,0.07958984375
prompt38,0.800635784804111,1.4169056415557861,11,no,20,10,2.21875,0.0639801025390625
prompt39,0.7816452334303401,0.9836616516113281,7,no,7,18,2.265625,0.0736083984375
prompt40,0.8195273090697951,0.9481515884399414,7,yes,8,8,1.912109375,0.06585693359375
prompt41,0.2984343134145506,1.3773949146270752,9,no,800,200,1.7568359375,0.0667724609375
prompt42,0.8798914782802734,1.3007874488830566,9,no,50,26,2.09765625,0.0590057373046875
prompt43,0.819635398874841,1.2060799598693848,9,no,90,48,2.2216796875,0.0619049072265625
prompt44,0.6621913065172883,1.6847331523895264,12,no,2550.0,20,2.065625,0.064434814453125
prompt45,0.8868287931063628,1.4979541301727295,10,no,44,104,1.96630859375,0.0616302490234375
prompt46,0.8004593835735649,1.0849158763885498,7,no,8,163,2.1640625,0.0682373046875
prompt47,0.5155887278507546,1.305417537689209,10,no,240,800,1.814453125,0.060028076171875
prompt48,0.7969037616587462,0.9422204494476318,7,yes,8,8,2.1640625,0.06903076171875
prompt49,,6.009406089782715,50,buggy,None,30,,
prompt50,0.8167258818513411,1.2962541580200195,10,no,3940,294,2.55859375,0.0728302001953125
prompt51,0.8843081883232953,1.1985771656036377,9,no,6,5,2.05078125,0.06072998046875
prompt52,0.623021192298389,1.3327505588531494,10,no,150.0,15,2.1552734375,0.0708465576171875
prompt53,0.6163315931738581,1.629760503768921,11,no,360,40,1.3902994791666667,0.058074951171875
prompt54,0.928303166125154,1.2153594493865967,8,no,25,40,2.017578125,0.063385009765625
prompt55,0.48990540906577124,1.1861512660980225,9,no,10,14,1.5615234375,0.05950927734375
prompt56,0.513647397938111,0.9466876983642578,7,no,6,3,1.90234375,0.07781982421875
prompt57,0.8994946069815266,1.3398618698120117,10,no,350,83,2.2682291666666665,0.06528727213541667
prompt58,0.589279583461854,1.4600343704223633,10,no,51,57,1.56103515625,0.0585479736328125
prompt59,0.8953449304636979,1.1691665649414062,9,no,378,187,1.9674479166666667,0.06349690755208333
prompt60,0.8080517077540927,1.0585198402404785,8,no,18,17,2.013671875,0.06512451171875
prompt61,0.5918119714896296,1.4496867656707764,11,no,1900,1430,1.4608154296875,0.05804443359375
prompt62,0.3644559274947191,1.6920526027679443,13,no,70000,25000,1.6705729166666667,0.057261149088541664
