,buggy_prompt_ids
0,1
1,2
2,7
3,8
4,10
5,11
6,12
7,13
8,15
9,18
10,19
11,22
12,26
13,27
14,29
15,30
16,32
17,33
18,35
19,36
20,38
21,41
22,43
23,45
24,47
25,48
26,56
27,59
28,62
29,63
30,65
31,66
32,69
33,70
34,71
35,73
36,75
37,76
38,77
39,79
40,80
41,81
42,85
43,88
44,90
45,92
46,94
47,96
48,98
49,101
50,104
51,105
52,109
53,111
54,114
55,119
56,122
57,125
58,126
59,129
60,130
61,131
62,133
63,134
64,135
65,139
66,140
67,141
68,142
69,143
70,145
71,146
72,150
73,151
74,153
75,155
76,156
77,157
78,161
79,162
80,163
81,166
82,170
83,171
84,173
85,175
86,179
87,181
88,182
89,183
90,188
91,193
92,194
93,199
94,201
95,203
96,204
97,205
98,206
99,210
100,211
101,214
102,216
103,218
104,220
105,222
106,223
107,224
108,226
109,227
110,229
111,230
112,234
113,236
114,237
115,238
116,239
117,240
118,242
119,246
120,248
121,249
122,252
123,253
124,255
125,259
126,262
127,264
128,266
129,270
130,272
131,275
132,277
133,278
134,283
135,286
136,287
137,288
138,289
139,292
140,294
141,296
142,297
143,299
144,300
145,301
146,302
147,303
148,311
149,313
150,316
151,317
152,320
153,321
154,322
155,323
156,326
157,328
158,330
159,332
160,333
161,336
162,337
163,339
164,342
165,345
166,347
167,348
168,349
169,350
170,351
171,353
172,354
173,358
174,359
175,361
176,363
177,367
178,369
179,372
180,374
181,379
182,380
183,381
184,382
185,384
186,386
187,388
188,389
189,390
190,393
191,396
192,398
193,401
194,402
195,408
196,409
197,410
198,411
199,414
200,416
201,418
202,419
203,421
204,422
205,425
206,427
207,428
208,430
209,434
210,435
211,437
212,439
213,441
214,443
215,445
216,446
217,448
218,452
219,454
220,459
221,461
222,464
223,465
224,469
225,470
226,471
227,472
228,477
229,485
230,487
231,489
232,490
233,492
234,494
235,495
236,496
237,499
238,500
239,501
240,502
241,503
242,508
243,510
244,511
245,513
246,514
247,515
248,517
249,518
250,519
251,520
252,524
253,526
254,530
255,532
256,533
257,540
258,541
259,542
260,543
261,544
262,546
263,549
264,550
265,551
266,552
267,555
268,559
269,561
270,563
271,564
272,565
273,566
274,568
275,570
276,571
277,572
278,575
279,576
280,583
281,584
282,585
283,586
284,587
285,588
286,592
287,595
288,596
289,597
290,598
291,600
292,602
293,604
294,605
295,606
296,607
297,608
298,611
299,612
300,615
301,618
302,619
303,625
304,628
305,631
306,633
307,636
308,637
309,638
310,639
311,640
312,641
313,642
314,644
315,646
316,648
317,651
318,654
319,655
320,659
321,661
322,662
323,663
324,667
325,668
326,669
327,671
328,674
329,675
330,676
331,677
332,679
333,680
334,681
335,683
336,686
337,687
338,688
339,690
340,691
341,693
342,695
343,698
344,699
345,700
346,702
347,703
348,706
349,707
350,711
351,712
352,716
353,717
354,720
355,722
356,725
357,726
358,728
359,730
360,731
361,732
362,733
363,735
364,736
365,741
366,743
367,746
368,748
369,749
370,751
371,752
372,753
373,754
374,757
375,758
376,763
377,764
378,765
379,768
380,769
381,771
382,772
383,775
384,776
385,785
386,786
387,787
388,791
389,792
390,794
391,795
392,796
393,798
394,801
395,803
396,804
397,805
398,808
399,809
400,811
401,812
402,814
403,815
404,817
405,818
406,819
407,820
408,822
409,825
410,826
411,827
412,828
413,833
414,835
415,838
416,839
417,840
418,841
419,844
420,846
421,848
422,849
423,852
424,853
425,855
426,857
427,858
428,859
429,861
430,863
431,864
432,867
433,868
434,869
435,871
436,873
437,875
438,880
439,881
440,884
441,886
442,887
443,888
444,889
445,891
446,893
447,895
448,896
449,897
450,898
451,899
452,902
453,904
454,907
455,908
456,911
457,912
458,913
459,916
460,917
461,918
462,920
463,921
464,925
465,926
466,927
467,928
468,929
469,930
470,931
471,935
472,936
473,937
474,938
475,940
476,941
477,942
478,945
479,949
480,950
481,952
482,954
483,957
484,958
485,960
486,961
487,963
488,964
489,969
490,974
491,975
492,978
493,979
494,980
495,981
496,982
497,984
498,985
499,989
500,992
501,993
502,995
503,996
504,998
505,999
506,1000
507,1001
508,1003
509,1012
510,1013
511,1014
512,1015
513,1017
514,1019
515,1020
516,1021
517,1022
518,1026
519,1027
520,1028
521,1030
522,1032
523,1035
524,1038
525,1039
526,1041
527,1044
528,1046
529,1047
530,1049
531,1053
532,1055
533,1056
534,1057
535,1060
536,1063
537,1064
538,1066
539,1067
540,1070
541,1072
542,1073
543,1074
544,1075
545,1077
546,1080
547,1082
548,1083
549,1084
550,1088
551,1089
552,1090
553,1091
554,1092
555,1093
556,1094
557,1096
558,1097
559,1099
560,1101
561,1102
562,1103
563,1104
564,1105
565,1108
566,1111
567,1112
568,1113
569,1117
570,1119
571,1120
572,1121
573,1122
574,1125
575,1126
576,1127
577,1128
578,1129
579,1131
580,1134
581,1143
582,1144
583,1146
584,1147
585,1148
586,1151
587,1152
588,1154
589,1155
590,1159
591,1160
592,1164
593,1165
594,1170
595,1173
596,1174
597,1177
598,1178
599,1179
600,1180
601,1182
602,1185
603,1187
604,1190
605,1193
606,1195
607,1196
608,1197
609,1198
610,1200
611,1202
612,1203
613,1204
614,1206
615,1207
616,1208
617,1209
618,1210
619,1212
620,1213
621,1216
622,1218
623,1219
624,1221
625,1223
626,1224
627,1226
628,1227
629,1229
630,1230
631,1232
632,1233
633,1234
634,1235
635,1236
636,1239
637,1240
638,1241
639,1242
640,1243
641,1244
642,1245
643,1246
644,1248
645,1249
646,1250
647,1251
648,1252
649,1255
650,1256
651,1258
652,1259
653,1261
654,1262
