,buggy_prompt_ids
0,3
1,15
2,17
3,36
4,37
5,41
6,46
7,54
8,62
9,70
10,84
11,119
12,127
13,134
14,137
15,140
16,162
17,184
18,192
19,210
20,219
21,226
22,234
23,235
24,258
25,264
26,271
27,276
28,277
29,283
30,297
31,313
32,330
33,348
34,361
35,363
36,387
37,389
38,399
39,400
40,401
41,409
42,429
43,432
44,437
45,450
46,455
47,473
48,492
49,493
50,508
51,513
52,537
53,549
54,572
55,587
56,593
57,598
58,599
59,601
60,609
61,610
62,619
63,622
64,623
65,647
66,651
67,658
68,662
69,664
70,665
71,668
72,670
73,680
74,689
75,696
76,702
77,705
78,709
79,717
80,731
81,732
82,733
83,739
84,751
85,754
86,795
87,796
88,798
89,803
90,816
91,820
92,823
93,826
94,827
95,836
96,849
97,851
98,858
99,868
100,883
101,891
102,900
103,901
104,902
105,912
106,914
107,916
108,924
109,931
110,940
111,950
112,968
113,969
114,972
115,976
116,984
117,985
118,989
119,990
120,999
121,1003
122,1006
123,1011
124,1013
125,1038
126,1053
127,1055
128,1063
129,1066
130,1067
131,1082
132,1088
133,1089
134,1097
135,1103
136,1108
137,1115
138,1133
139,1135
140,1143
141,1146
142,1147
143,1155
144,1165
145,1175
146,1180
147,1185
148,1191
149,1194
150,1196
151,1198
152,1204
153,1216
154,1224
155,1241
156,1248
157,1251
158,1275
159,1279
160,1297
161,1304
