,buggy_prompt_ids
0,0
1,3
2,4
3,6
4,8
5,10
6,12
7,14
8,15
9,16
10,19
11,20
12,21
13,24
14,25
15,26
16,28
17,29
18,32
19,34
20,38
21,40
22,42
23,43
24,44
25,45
26,46
27,48
28,51
29,53
30,54
31,56
32,58
33,61
34,63
35,64
36,67
37,69
38,71
39,73
40,80
41,82
42,83
43,84
44,89
45,91
46,97
47,99
48,101
49,102
50,105
51,106
52,107
53,108
54,109
55,110
56,111
57,112
58,113
59,114
60,116
61,117
62,118
63,122
64,123
65,124
66,125
67,127
68,128
69,129
70,133
71,135
72,137
73,141
74,142
75,143
76,144
77,149
78,150
79,153
80,154
81,155
82,157
83,158
84,159
85,160
86,161
87,162
88,163
89,164
90,168
91,170
92,172
93,173
94,174
95,177
96,178
97,179
98,180
99,181
100,183
101,184
102,187
103,188
104,189
105,191
106,192
107,193
108,196
109,197
110,199
111,201
112,202
113,204
114,205
115,206
116,208
117,210
118,212
119,213
120,214
121,215
122,224
123,225
124,227
125,231
126,232
127,234
128,235
129,238
130,239
131,240
132,244
133,246
134,249
135,251
136,252
137,256
138,257
139,258
140,259
141,260
142,261
143,263
144,264
145,265
146,266
147,268
148,269
149,272
150,273
151,278
152,280
153,284
154,288
155,289
156,290
157,291
158,292
159,293
160,294
161,296
162,298
163,301
164,303
165,304
166,305
167,308
168,309
169,311
170,313
171,315
172,316
173,317
174,318
175,319
176,323
177,324
178,325
179,326
180,329
181,331
182,332
183,333
184,334
185,338
186,344
187,348
188,349
189,352
190,353
191,354
192,355
193,359
194,363
195,364
196,365
197,366
198,371
199,372
200,374
201,375
202,376
203,378
204,382
205,383
206,384
207,385
208,386
209,390
210,391
211,392
212,393
213,394
214,395
215,396
216,398
217,400
218,401
219,403
220,404
221,405
222,406
223,407
224,409
225,410
226,412
227,413
228,414
229,416
230,417
231,419
232,421
233,422
234,424
235,425
236,427
237,428
238,431
239,434
240,436
241,437
242,438
243,442
244,444
245,446
246,447
247,450
248,451
249,454
250,457
251,459
252,461
253,462
254,465
255,466
256,468
257,469
258,470
259,471
260,472
261,473
262,474
263,479
264,482
265,483
266,484
267,487
268,493
269,497
270,498
271,499
272,503
273,504
274,505
275,506
276,507
277,508
278,509
279,512
280,514
281,518
282,520
283,522
284,523
285,525
286,528
287,537
288,538
289,540
290,541
291,542
292,544
293,545
294,546
295,547
296,550
297,553
298,554
299,555
300,556
301,558
302,560
303,561
304,562
305,563
306,564
307,566
308,570
309,572
310,573
311,574
312,575
313,576
314,581
315,582
316,583
317,584
318,586
319,587
320,588
321,589
322,591
323,592
324,594
325,596
326,598
